SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11447 Brandow St,Oregon City,OR,97045,595000,4,3.0,"Oregon City, Beavercreek, Canby, Molalla, Mulino",2621,10454,1999,1,227,,Active,,,http://www.redfin.com/OR/Oregon-City/11447-Brandow-St-97045/home/26025246,RMLS,20418593,N,Y,45.3288521,-122.6315998
MLS Listing,,Townhouse,6726 SW Canyon Ter,Portland,OR,97225,475000,2,2.5,"Portland West, Raleigh Hills",1714,2613,2000,1,277,,Active,August-22-2020 11:00 AM,August-22-2020 01:00 PM,http://www.redfin.com/OR/Portland/6726-SW-Canyon-Ter-97225/home/26721399,RMLS,20430438,N,Y,45.504376,-122.746032
MLS Listing,,Single Family Residential,20414 Highway 213,Oregon City,OR,97045,450000,3,2.0,"Oregon City, Beavercreek, Canby, Molalla, Mulino",2842,43995,1946,1,158,,Active,,,http://www.redfin.com/OR/Oregon-City/20414-OR-213-97045/home/25931691,RMLS,20479232,N,Y,45.3112655,-122.5697029
MLS Listing,,Townhouse,7833 SW Alder St,Tigard,OR,97224,419900,3,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2021,3049,2005,1,208,259,Active,,,http://www.redfin.com/OR/Tigard/7833-SW-Alder-St-97224/home/26728981,RMLS,20276691,N,Y,45.404892,-122.7575692
MLS Listing,,Single Family Residential,6393 SE Yamhill St,Portland,OR,97215,1295000,4,3.0,Mt Tabor,4426,14810,1971,3,293,,Active,,,http://www.redfin.com/OR/Portland/6393-SE-Yamhill-St-97215/home/25761661,RMLS,20344443,N,Y,45.5165624,-122.5982564
MLS Listing,,Single Family Residential,12215 SW Douglas St,Portland,OR,97225,450000,3,2.0,CEDAR HILLS,2179,10018,1948,4,207,,Active,,,http://www.redfin.com/OR/Portland/12215-SW-Douglas-St-97225/home/26727851,RMLS,20093239,N,Y,45.5045597,-122.8024977
MLS Listing,,Single Family Residential,2987 NE Lange Ct,Hillsboro,OR,97124,405000,3,2.5,Jones Farm,1678,3049,2000,5,241,81,Active,,,http://www.redfin.com/OR/Hillsboro/2987-NE-Lange-Ct-97124/home/25761546,RMLS,20182649,N,Y,45.5459938,-122.9691314
MLS Listing,,Multi-Family (2-4 Unit),"227 SE 30th A, B Pl",Portland,OR,97214,1025000,4,5.0,Laurelhurst,3148,,2016,6,326,,Active,,,http://www.redfin.com/OR/Portland/227-SE-30th-Pl-97214/unit-A/home/105487418,RMLS,20265128,N,Y,45.520985,-122.634125
MLS Listing,,Single Family Residential,7012 NE Skidmore St,Portland,OR,97218,470000,3,2.0,Portland Northeast,1730,4791,1944,6,272,,Active,,,http://www.redfin.com/OR/Portland/7012-NE-Skidmore-St-97218/home/25814217,RMLS,20264534,N,Y,45.553705,-122.5909292
MLS Listing,,Single Family Residential,12424 SE 71st Ave,Milwaukie,OR,97222,349900,3,1.0,LINWOOD,956,9147,1972,6,366,,Active,,,http://www.redfin.com/OR/Milwaukie/12424-SE-71st-Ave-97222/home/25982604,RMLS,20633806,N,Y,45.4329824,-122.5899028
