SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-1-2020,Single Family Residential,7415 N Wayland Ave,Portland,OR,97203,585000.0,3.0,2.0,UNIVERSITY PARK,2478.0,5662.0,1944.0,80.0,236.0,,Sold,,,http://www.redfin.com/OR/Portland/7415-N-Wayland-Ave-97203/home/26319083,RMLS,20031907.0,N,Y,45.5766079,-122.7108375
PAST SALE,April-3-2020,Single Family Residential,7906 N Wall Ave,Portland,OR,97203,288000.0,2.0,1.0,PORTSMOUTH,1466.0,4791.0,1925.0,139.0,196.0,,Sold,,,http://www.redfin.com/OR/Portland/7906-N-Wall-Ave-97203/home/26478929,RMLS,20659330.0,N,Y,45.5859632,-122.7282748
PAST SALE,July-24-2020,Single Family Residential,8719 N Portsmouth Ave,Portland,OR,97203,410000.0,3.0,1.5,Portland North,1288.0,6534.0,2000.0,27.0,318.0,,Sold,,,http://www.redfin.com/OR/Portland/8719-N-Portsmouth-Ave-97203/home/26523430,RMLS,20626301.0,N,Y,45.5861458,-122.7216827
PAST SALE,July-6-2020,Single Family Residential,10020 N Mohawk Ave,Portland,OR,97203,369900.0,3.0,1.0,ST. JOHNS,960.0,4791.0,1958.0,45.0,385.0,,Sold,,,http://www.redfin.com/OR/Portland/10020-N-Mohawk-Ave-97203/home/26527804,RMLS,20196394.0,N,Y,45.597424,-122.74402749999999
PAST SALE,February-28-2020,Single Family Residential,4755 N Oberlin St,Portland,OR,97203,475000.0,3.0,2.0,UNIVERSITY PARK,1448.0,5227.0,1928.0,174.0,328.0,,Sold,,,http://www.redfin.com/OR/Portland/4755-N-Oberlin-St-97203/home/26513836,RMLS,20338906.0,N,Y,45.5784716,-122.71814750000001
PAST SALE,February-24-2020,Single Family Residential,8823 N Druid Ave,Portland,OR,97203,425000.0,3.0,2.5,PORTSMOUTH NEIGHBORHOOD,1242.0,4791.0,1997.0,178.0,342.0,,Sold,,,http://www.redfin.com/OR/Portland/8823-N-Druid-Ave-97203/home/25795953,RMLS,20324333.0,N,Y,45.586299700000005,-122.7176143
PAST SALE,March-11-2020,Single Family Residential,5606 N Depauw St,Portland,OR,97203,599900.0,5.0,2.5,University Park,2518.0,7405.0,1959.0,162.0,238.0,,Sold,,,http://www.redfin.com/OR/Portland/5606-N-Depauw-St-97203/home/26461026,RMLS,20245983.0,N,Y,45.58098579999999,-122.72813359999999
PAST SALE,April-9-2020,Single Family Residential,9753 N Central St,Portland,OR,97203,427250.0,3.0,1.0,ST JOHNS,1198.0,5227.0,1971.0,133.0,357.0,,Sold,,,http://www.redfin.com/OR/Portland/9753-N-Central-St-97203/home/26459821,RMLS,20666559.0,N,Y,45.5982039,-122.7586064
PAST SALE,March-24-2020,Single Family Residential,7910 N Edison St,Portland,OR,97203,431000.0,3.0,1.0,CATHEDRAL PARK/ST JOHNS,884.0,4791.0,1962.0,149.0,488.0,,Sold,,,http://www.redfin.com/OR/Portland/7910-N-Edison-St-97203/home/26525662,RMLS,20293341.0,N,Y,45.5846941,-122.75054240000001
PAST SALE,May-7-2020,Single Family Residential,9331 N Allegheny Ave,Portland,OR,97203,457500.0,3.0,2.0,Portland North,2080.0,4791.0,1921.0,105.0,220.0,,Sold,,,http://www.redfin.com/OR/Portland/9331-N-Allegheny-Ave-97203/home/25771690,RMLS,20335318.0,N,Y,45.5940931,-122.7451325
PAST SALE,July-29-2020,Single Family Residential,7237 N Fessenden St,Portland,OR,97203,377500.0,3.0,1.0,ST JOHNS,976.0,4356.0,1954.0,22.0,387.0,,Sold,,,http://www.redfin.com/OR/Portland/7237-N-Fessenden-St-97203/home/25841441,RMLS,20207335.0,N,Y,45.594364299999995,-122.7380106
